HomeTeam,AwayTeam,FTHG,FTAG
Werder Bremen,Freiburg,2,1
Ein Frankfurt,Augsburg,1,3
Fortuna Dusseldorf,Bayern Munich,1,4
Hoffenheim,Hertha,2,0
Augsburg,Stuttgart,6,0
Bayern Munich,Werder Bremen,1,0
Leverkusen,Nurnberg,2,0
Mainz,Fortuna Dusseldorf,3,1
M'gladbach,RB Leipzig,1,2
Schalke 04,Hoffenheim,2,5
Freiburg,Dortmund,0,4
Hertha,Hannover,0,0
Wolfsburg,Ein Frankfurt,1,1
Augsburg,Leverkusen,1,4
Dortmund,Schalke 04,2,4
Ein Frankfurt,Hertha,0,0
Fortuna Dusseldorf,Werder Bremen,4,1
Hannover,Mainz,1,0
RB Leipzig,Freiburg,2,1
Stuttgart,M'gladbach,1,0
Hoffenheim,Wolfsburg,1,4
Nurnberg,Bayern Munich,1,1
Mainz,RB Leipzig,3,3
Bayern Munich,Hannover,3,1
Hertha,Stuttgart,3,1
M'gladbach,Hoffenheim,2,2
Werder Bremen,Dortmund,2,2
Wolfsburg,Nurnberg,2,0
Freiburg,Fortuna Dusseldorf,1,1
Leverkusen,Ein Frankfurt,6,1
Schalke 04,Augsburg,0,0
Augsburg,Hertha,3,4
Dortmund,Fortuna Dusseldorf,3,2
Hannover,Freiburg,3,0
Hoffenheim,Werder Bremen,0,1
Leverkusen,Schalke 04,1,1
Nurnberg,M'gladbach,0,4
RB Leipzig,Bayern Munich,0,0
Stuttgart,Wolfsburg,3,0
Ein Frankfurt,Mainz,0,2
Bayern Munich,Ein Frankfurt,5,1
Fortuna Dusseldorf,Hannover,2,1
Freiburg,Nurnberg,5,1
Hertha,Leverkusen,1,5
Mainz,Hoffenheim,4,2
M'gladbach,Dortmund,0,2
Schalke 04,Stuttgart,0,0
Werder Bremen,RB Leipzig,2,1
Wolfsburg,Augsburg,8,1
